start, stop
Tue Sep 15 09:57:55 2015,Tue Sep 15 09:58:02 2015
Tue Sep 15 09:58:25 2015,Tue Sep 15 09:58:32 2015
Tue Sep 15 09:58:55 2015,Tue Sep 15 09:59:05 2015
Tue Sep 15 09:59:25 2015,Tue Sep 15 09:59:33 2015
Tue Sep 15 09:59:55 2015,Tue Sep 15 10:00:04 2015
Tue Sep 15 10:00:25 2015,Tue Sep 15 10:00:33 2015
Tue Sep 15 10:00:55 2015,Tue Sep 15 10:01:02 2015
Tue Sep 15 10:01:25 2015,Tue Sep 15 10:01:34 2015
Tue Sep 15 10:01:55 2015,Tue Sep 15 10:02:02 2015
Tue Sep 15 10:02:25 2015,Tue Sep 15 10:02:36 2015
Tue Sep 15 10:02:55 2015,Tue Sep 15 10:03:02 2015
Tue Sep 15 10:03:25 2015,Tue Sep 15 10:03:32 2015
Tue Sep 15 10:03:55 2015,Tue Sep 15 10:04:02 2015
Tue Sep 15 10:04:25 2015,Tue Sep 15 10:04:32 2015
Tue Sep 15 10:04:55 2015,Tue Sep 15 10:05:02 2015
Tue Sep 15 10:05:25 2015,Tue Sep 15 10:05:32 2015
Tue Sep 15 10:05:55 2015,Tue Sep 15 10:06:02 2015
Tue Sep 15 10:06:25 2015,Tue Sep 15 10:06:32 2015
Tue Sep 15 10:06:55 2015,Tue Sep 15 10:07:09 2015
Tue Sep 15 10:07:25 2015,Tue Sep 15 10:07:34 2015
Tue Sep 15 10:07:55 2015,Tue Sep 15 10:08:02 2015
Tue Sep 15 10:08:25 2015,Tue Sep 15 10:08:32 2015
Tue Sep 15 10:08:55 2015,Tue Sep 15 10:09:02 2015
Tue Sep 15 10:09:25 2015,Tue Sep 15 10:09:32 2015
Tue Sep 15 10:09:55 2015,Tue Sep 15 10:10:05 2015
Tue Sep 15 10:10:25 2015,Tue Sep 15 10:10:32 2015
Tue Sep 15 10:10:55 2015,Tue Sep 15 10:11:03 2015
Tue Sep 15 10:11:25 2015,Tue Sep 15 10:11:32 2015
Tue Sep 15 10:11:55 2015,Tue Sep 15 10:12:03 2015
Tue Sep 15 10:12:25 2015,Tue Sep 15 10:12:34 2015
Tue Sep 15 10:12:55 2015,Tue Sep 15 10:13:03 2015
Tue Sep 15 10:13:25 2015,Tue Sep 15 10:13:39 2015
Tue Sep 15 10:13:55 2015,Tue Sep 15 10:14:02 2015
Tue Sep 15 10:14:25 2015,Tue Sep 15 10:14:38 2015
Tue Sep 15 10:14:55 2015,Tue Sep 15 10:15:02 2015
Tue Sep 15 10:15:25 2015,Tue Sep 15 10:15:34 2015
Tue Sep 15 10:15:55 2015,Tue Sep 15 10:16:03 2015
Tue Sep 15 10:16:25 2015,Tue Sep 15 10:16:32 2015
Tue Sep 15 10:16:55 2015,Tue Sep 15 10:17:02 2015
Tue Sep 15 10:17:25 2015,Tue Sep 15 10:17:33 2015
Tue Sep 15 10:17:55 2015,Tue Sep 15 10:18:05 2015
Tue Sep 15 10:18:25 2015,Tue Sep 15 10:18:32 2015
Tue Sep 15 10:18:55 2015,Tue Sep 15 10:19:02 2015
Tue Sep 15 10:19:25 2015,Tue Sep 15 10:19:32 2015
Tue Sep 15 10:19:55 2015,Tue Sep 15 10:20:05 2015
Tue Sep 15 10:20:25 2015,Tue Sep 15 10:20:35 2015
Tue Sep 15 10:20:55 2015,Tue Sep 15 10:21:03 2015
Tue Sep 15 10:21:25 2015,Tue Sep 15 10:21:32 2015
Tue Sep 15 10:21:55 2015,Tue Sep 15 10:22:04 2015
Tue Sep 15 10:22:25 2015,Tue Sep 15 10:22:32 2015
Tue Sep 15 10:22:55 2015,Tue Sep 15 10:23:02 2015
Tue Sep 15 10:23:25 2015,Tue Sep 15 10:23:33 2015
Tue Sep 15 10:23:55 2015,Tue Sep 15 10:24:02 2015
Tue Sep 15 10:24:25 2015,Tue Sep 15 10:24:32 2015
Tue Sep 15 10:24:55 2015,Tue Sep 15 10:25:02 2015
Tue Sep 15 10:25:25 2015,Tue Sep 15 10:25:32 2015
Tue Sep 15 10:25:55 2015,Tue Sep 15 10:26:10 2015
Tue Sep 15 10:26:25 2015,Tue Sep 15 10:26:34 2015
Tue Sep 15 10:26:55 2015,Tue Sep 15 10:27:05 2015
Tue Sep 15 10:27:25 2015,Tue Sep 15 10:27:33 2015
Tue Sep 15 10:27:55 2015,Tue Sep 15 10:28:06 2015
Tue Sep 15 10:28:25 2015,Tue Sep 15 10:28:46 2015
Tue Sep 15 10:48:46 2015,Tue Sep 15 10:49:01 2015
Tue Sep 15 10:49:01 2015,Tue Sep 15 10:49:08 2015
Tue Sep 15 10:49:08 2015,Tue Sep 15 10:49:13 2015
Tue Sep 15 10:49:13 2015,Tue Sep 15 10:49:20 2015
Tue Sep 15 10:49:20 2015,Tue Sep 15 10:49:24 2015
